epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0725,4.10905,6.69046,3.07679,0,0,0,0,0,428.919,0,0,0,0
2,44.4544,2.91995,5.871,2.52206,0,0,0,0,0,428.919,0,0.000330033,0.000330033,0.000330033
3,64.632,3.71572,5.60668,2.4854,0,0,0,0,0,428.919,0,0.000653467,0.000653467,0.000653467
4,85.4138,3.88361,6.54696,2.6197,0,0,0,0,0,430.02,0,0.0009703,0.0009703,0.0009703
5,110.63,4.61988,5.2495,3.43337,0,0,0,0,0,430.02,0,0.0009604,0.0009604,0.0009604
6,133.03,3.7246,5.23037,2.84436,0,0,0,0,0,430.02,0,0.0009505,0.0009505,0.0009505
7,152.394,2.09036,4.86031,1.95693,0,0,0,0,0,434.344,0,0.0009406,0.0009406,0.0009406
8,171.8,3.05304,4.44958,2.06477,0,0,0,0,0,434.344,0,0.0009307,0.0009307,0.0009307
9,191.706,3.02375,4.90281,2.0416,0,0,0,0,0,434.344,0,0.0009208,0.0009208,0.0009208
10,211.38,2.48246,4.06528,1.69947,0,0,0,0,0,443.529,0,0.0009109,0.0009109,0.0009109
11,231.85,2.66149,3.72168,1.72839,0,0,0,0,0,443.529,0,0.000901,0.000901,0.000901
12,257.454,2.97063,4.8125,2.20984,0,0,0,0,0,443.529,0,0.0008911,0.0008911,0.0008911
13,279.735,3.02199,3.86601,1.83851,0,0,0,0,0,450.816,0,0.0008812,0.0008812,0.0008812
14,300.722,2.96329,3.96855,1.98444,0,0,0,0,0,450.816,0,0.0008713,0.0008713,0.0008713
15,321.727,2.84754,3.91474,1.95973,0,0,0,0,0,450.816,0,0.0008614,0.0008614,0.0008614
16,341.767,0,21.9603,0,0,0,0,0,0,441.141,0,0.0008515,0.0008515,0.0008515
17,361.829,2.859,4.46621,2.21892,0,0,0,0,0,441.141,0,0.0008416,0.0008416,0.0008416
18,382.778,2.55839,3.4545,1.68057,0,0,0,0,0,441.141,0,0.0008317,0.0008317,0.0008317
19,402.999,0,20.707,0,0,0,0,0,0,430.167,0,0.0008218,0.0008218,0.0008218
20,423.128,2.28548,3.27552,1.74116,0,0,0,0,0,430.167,0,0.0008119,0.0008119,0.0008119
21,443.598,2.88932,3.28417,1.78094,0,0,0,0,0,430.167,0,0.000802,0.000802,0.000802
22,463.274,2.60288,4.88056,1.67001,0,0,0,0,0,421.297,0,0.0007921,0.0007921,0.0007921
23,483.21,2.45408,3.59023,2.00426,0,0,0,0,0,421.297,0,0.0007822,0.0007822,0.0007822
24,505.153,2.3492,3.37362,2.23096,0,0,0,0,0,421.297,0,0.0007723,0.0007723,0.0007723
25,528.658,2.13675,3.21531,1.71718,0,0,0,0,0,416.521,0,0.0007624,0.0007624,0.0007624
26,549.844,2.92149,3.31915,2.68882,0,0,0,0,0,416.521,0,0.0007525,0.0007525,0.0007525
27,570.332,2.30368,3.01912,1.88475,0,0,0,0,0,416.521,0,0.0007426,0.0007426,0.0007426
28,590.197,2.17864,2.89198,1.63118,0,0,0,0,0,412.46,0,0.0007327,0.0007327,0.0007327
29,610.614,2.6234,3.10418,1.74454,0,0,0,0,0,412.46,0,0.0007228,0.0007228,0.0007228
30,630.953,2.608,2.91392,1.74447,0,0,0,0,0,412.46,0,0.0007129,0.0007129,0.0007129
31,651.133,3.36629,4.10597,2.80083,0,0,0,0,0,409.132,0,0.000703,0.000703,0.000703
32,671.3,2.55056,2.94836,1.86066,0,0,0,0,0,409.132,0,0.0006931,0.0006931,0.0006931
33,693.921,2.42498,2.5897,1.55768,0,0,0,0,0,409.132,0,0.0006832,0.0006832,0.0006832
34,714.895,2.75271,2.57843,1.8119,0,0,0,0,0,407.303,0,0.0006733,0.0006733,0.0006733
35,735.264,2.38869,2.77197,1.69845,0,0,0,0,0,407.303,0,0.0006634,0.0006634,0.0006634
36,755.458,2.31504,2.74993,1.93169,0,0,0,0,0,407.303,0,0.0006535,0.0006535,0.0006535
37,775.701,0,20.4433,0,0,0,0,0,0,407.145,0,0.0006436,0.0006436,0.0006436
38,796.158,2.43534,2.68603,1.67266,0,0,0,0,0,407.145,0,0.0006337,0.0006337,0.0006337
39,817.283,2.47439,3.14457,2.00558,0,0,0,0,0,407.145,0,0.0006238,0.0006238,0.0006238
40,837.572,1.335,12.8101,1.25143,0,0,0,0,0,406.673,0,0.0006139,0.0006139,0.0006139
41,857.848,2.60896,4.69509,2.22547,0,0,0,0,0,406.673,0,0.000604,0.000604,0.000604
42,878.153,2.45734,3.72019,1.97685,0,0,0,0,0,406.673,0,0.0005941,0.0005941,0.0005941
43,899.075,2.82317,2.98344,1.74362,0,0,0,0,0,407.915,0,0.0005842,0.0005842,0.0005842
44,919.912,2.296,2.61073,1.9406,0,0,0,0,0,407.915,0,0.0005743,0.0005743,0.0005743
45,940.948,2.5139,2.72502,1.7043,0,0,0,0,0,407.915,0,0.0005644,0.0005644,0.0005644
46,961.717,3.18,4.45742,2.39283,0,0,0,0,0,409.658,0,0.0005545,0.0005545,0.0005545
47,982.507,2.43457,3.43296,2.04303,0,0,0,0,0,409.658,0,0.0005446,0.0005446,0.0005446
48,1005.76,3.01012,3.86537,2.48879,0,0,0,0,0,409.658,0,0.0005347,0.0005347,0.0005347
49,1028.05,2.40232,2.45743,1.60172,0,0,0,0,0,411.098,0,0.0005248,0.0005248,0.0005248
