epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,743.487,2.61919,3.29709,1.39615,0,0,0,0,2.73441,5.77779,2.20267,0.000153015,0.000153015,0.000153015
52,757.99,0,40.2902,0,0,0,0,0,2.7686,5.76038,2.23363,0.000150015,0.000150015,0.000150015
53,772.146,2.94776,4.23934,1.9918,0,0,0,0,2.7686,5.76038,2.23363,0.000147016,0.000147016,0.000147016
54,786.255,2.07451,3.90055,1.62349,0,0,0,0,2.7686,5.76038,2.23363,0.000144016,0.000144016,0.000144016
55,800.583,2.18331,4.04215,1.48421,0,0,0,0,2.77465,5.77752,2.23677,0.000141016,0.000141016,0.000141016
56,815.224,2.78532,3.4713,1.6819,0,0,0,0,2.77465,5.77752,2.23677,0.000138016,0.000138016,0.000138016
57,829.575,2.1424,3.35757,1.58065,0,0,0,0,2.77465,5.77752,2.23677,0.000135017,0.000135017,0.000135017
58,844.482,1.48142,3.68265,1.62911,0,0,0,0,2.79303,5.79976,2.22699,0.000132017,0.000132017,0.000132017
59,859.94,2.15329,4.24046,1.83931,0,0,0,0,2.79303,5.79976,2.22699,0.000129017,0.000129017,0.000129017
60,875.018,2.5413,4.31479,1.69353,0,0,0,0,2.79303,5.79976,2.22699,0.000126018,0.000126018,0.000126018
61,889.599,0,44.7178,0,0,0,0,0,2.77991,5.79789,2.23147,0.000123018,0.000123018,0.000123018
62,903.921,2.44213,5.99467,2.27787,0,0,0,0,2.77991,5.79789,2.23147,0.000120018,0.000120018,0.000120018
63,918.939,1.88309,3.33709,1.59113,0,0,0,0,2.77991,5.79789,2.23147,0.000117019,0.000117019,0.000117019
64,933.45,2.10528,3.34266,1.61745,0,0,0,0,2.7757,5.80398,2.23353,0.000114019,0.000114019,0.000114019
65,948.251,1.8316,3.83332,1.49508,0,0,0,0,2.7757,5.80398,2.23353,0.000111019,0.000111019,0.000111019
66,962.731,2.35696,4.37532,2.24494,0,0,0,0,2.7757,5.80398,2.23353,0.000108019,0.000108019,0.000108019
67,978.348,2.65818,4.69743,1.45682,0,0,0,0,2.77433,5.8041,2.22174,0.00010502,0.00010502,0.00010502
68,992.946,2.71081,3.65285,1.83068,0,0,0,0,2.77433,5.8041,2.22174,0.00010202,0.00010202,0.00010202
69,1007.7,2.30258,3.20657,1.71596,0,0,0,0,2.77433,5.8041,2.22174,9.90204e-05,9.90204e-05,9.90204e-05
70,1022.63,1.88968,3.0792,1.70825,0,0,0,0,2.78445,5.77742,2.23153,9.60207e-05,9.60207e-05,9.60207e-05
71,1037.14,2.07933,3.24027,1.56416,0,0,0,0,2.78445,5.77742,2.23153,9.3021e-05,9.3021e-05,9.3021e-05
72,1052.02,2.04462,3.60254,1.46123,0,0,0,0,2.78445,5.77742,2.23153,9.00213e-05,9.00213e-05,9.00213e-05
73,1067.31,1.57732,4.05112,1.58417,0,0,0,0,2.78897,5.7658,2.23923,8.70216e-05,8.70216e-05,8.70216e-05
74,1082.26,2.63394,3.49703,1.43227,0,0,0,0,2.78897,5.7658,2.23923,8.40219e-05,8.40219e-05,8.40219e-05
75,1097.5,1.67025,3.49781,1.62898,0,0,0,0,2.78897,5.7658,2.23923,8.10222e-05,8.10222e-05,8.10222e-05
76,1112.42,2.60325,4.06239,1.74474,0.00198,0.00483,0.00031,6e-05,2.78798,5.77177,2.23704,7.80225e-05,7.80225e-05,7.80225e-05
77,1127.18,2.35764,3.15368,1.54689,0.00198,0.00483,0.00031,6e-05,2.78798,5.77177,2.23704,7.50228e-05,7.50228e-05,7.50228e-05
78,1142.71,2.32954,2.76177,1.54036,0.00198,0.00483,0.00031,6e-05,2.78798,5.77177,2.23704,7.20231e-05,7.20231e-05,7.20231e-05
79,1158.21,1.80874,3.61981,1.80811,0.0015,0.00483,0.00022,4e-05,2.79435,5.77392,2.24563,6.90234e-05,6.90234e-05,6.90234e-05
80,1173.46,1.92139,3.58896,1.4996,0.0015,0.00483,0.00022,4e-05,2.79435,5.77392,2.24563,6.60237e-05,6.60237e-05,6.60237e-05
81,1188.44,2.21489,2.93421,1.27931,0.0015,0.00483,0.00022,4e-05,2.79435,5.77392,2.24563,6.3024e-05,6.3024e-05,6.3024e-05
82,1203.27,1.58321,3.00235,1.62645,0.00105,0.00483,0.00014,3e-05,2.80384,5.75313,2.23957,6.00243e-05,6.00243e-05,6.00243e-05
83,1218.4,1.91472,3.22635,1.71162,0.00105,0.00483,0.00014,3e-05,2.80384,5.75313,2.23957,5.70246e-05,5.70246e-05,5.70246e-05
84,1233.42,2.03563,2.72538,1.52465,0.00105,0.00483,0.00014,3e-05,2.80384,5.75313,2.23957,5.40249e-05,5.40249e-05,5.40249e-05
85,1248.24,2.94622,7.05261,2.64546,0.00068,0.00483,9e-05,2e-05,2.81285,5.73785,2.24631,5.10252e-05,5.10252e-05,5.10252e-05
86,1263.56,1.73948,3.48959,1.51983,0.00068,0.00483,9e-05,2e-05,2.81285,5.73785,2.24631,4.80255e-05,4.80255e-05,4.80255e-05
87,1279.25,1.8285,3.70175,1.85872,0.00068,0.00483,9e-05,2e-05,2.81285,5.73785,2.24631,4.50258e-05,4.50258e-05,4.50258e-05
88,1294.35,1.84257,3.24341,1.58411,0.00055,0.00483,0.00011,2e-05,2.8063,5.72465,2.23934,4.20261e-05,4.20261e-05,4.20261e-05
89,1309.35,2.48198,45.1887,1.79076,0.00055,0.00483,0.00011,2e-05,2.8063,5.72465,2.23934,3.90264e-05,3.90264e-05,3.90264e-05
90,1324.57,1.76372,2.59965,1.60108,0.00055,0.00483,0.00011,2e-05,2.8063,5.72465,2.23934,3.60267e-05,3.60267e-05,3.60267e-05
91,1339.57,2.52076,3.62783,1.80879,0.00047,0.00483,0.0001,1e-05,2.80375,5.72268,2.24066,3.3027e-05,3.3027e-05,3.3027e-05
92,1354.86,1.80181,3.40559,1.78708,0.00047,0.00483,0.0001,1e-05,2.80375,5.72268,2.24066,3.00273e-05,3.00273e-05,3.00273e-05
93,1370.01,2.21405,4.48495,1.55147,0.00047,0.00483,0.0001,1e-05,2.80375,5.72268,2.24066,2.70276e-05,2.70276e-05,2.70276e-05
94,1385.37,2.23811,4.13322,1.73764,0.00038,0.00483,9e-05,1e-05,2.80323,5.72524,2.24691,2.40279e-05,2.40279e-05,2.40279e-05
95,1400.47,2.05835,4.20928,1.7156,0.00038,0.00483,9e-05,1e-05,2.80323,5.72524,2.24691,2.10282e-05,2.10282e-05,2.10282e-05
96,1415.39,2.49211,5.34934,1.63561,0.00038,0.00483,9e-05,1e-05,2.80323,5.72524,2.24691,1.80285e-05,1.80285e-05,1.80285e-05
97,1430.6,2.2874,4.02721,2.06089,0.00015,0.00242,2e-05,0,2.81669,5.74166,2.25852,1.50288e-05,1.50288e-05,1.50288e-05
98,1446.36,1.82706,3.84139,1.86058,0.00015,0.00242,2e-05,0,2.81669,5.74166,2.25852,1.20291e-05,1.20291e-05,1.20291e-05
99,1461.36,2.01677,4.26279,1.60011,0.00015,0.00242,2e-05,0,2.81669,5.74166,2.25852,9.0294e-06,9.0294e-06,9.0294e-06
100,1476.49,2.54786,4.53995,1.94239,0.00014,0.00242,1e-05,0,2.81045,5.76286,2.26344,6.0297e-06,6.0297e-06,6.0297e-06
